Type,Identifier (do not modify),Label,Comment,
,illustrationPrinted,Illustration printed,printing of a illustration manifestation     ,
,collectionCreated,creation of a collection,,
,collectionDispersed,dispersal of a collection,,
,hasAddress,Has address,street address     ,
,precedes,Precedes,Manifestation precedes another manifestation of same class     ,
,hasTuneAuthor,Tune author,,
,isDifferentFrom,Is different from,is different from another illustration manifestation     ,
,hasCollection,Collection,collection that a sheet item is added to     ,
,exemplar,Exemplar,,
,formsPartOfSheetManifestation,Forms part of sheet manifestation,,
,sheetManifestationComposedOf,Sheet manifestation composed of,Manifestation that is part of a ballad sheet manifestation     ,
,hasPerformer,Performer,Person / organization record for the performer of a sheet manifestation     ,
,sheetManifestationCreated,Sheet manifestation created,,
,balladTextComposedOf,,is composed of     ,
,hasPrinter,Has printer,Printer of the sheet manifestation     ,
,relatedTo,Related to,manifestation related to another manifestation of the same class     ,
,hasLocation,Has location,"Location of event, or agent e.g. Organization, Person     ",
,sameEditionAs,Same edition as,Same edition as manifestation of the same class     ,
,exemplarOf,Exemplar of,Examplar of     ,
,sheetItemCreated,Sheet item created,Creation of a sheet item by printing     ,
,formsPartOfBalladText,Forms part of ballad text,Forms part of ballad text manifestation     ,
,hasAuthor,Has author,author of ballad text manifestation     ,
,hasOwner,Owner,owner of a collection     ,
,referredToBy,Referred to by,organisation or person who refers to a sheet manifestation     ,
,hasPerformance,Performance,performance of a sheet manifestation     ,
,isFacsimileOf,Is facsimile of,Is facsimile of specified sheet item     ,
,incorporatesIllustration,Incorporates illustration,an illustration manifestation incorporates another illustration manifestation     ,
,hasMeasurement,Has measurement,describes measurement relating to element e.g. dimension     ,
,hasArtist,Has artist,"comment by cataloguer on the illustration identifying the artist, the person responsible for the illustration work     ",
,sameAs,Same as,Manifestation same as manifestation of same class,
